2026-07-21 21:23:32 | INFO | BI | === RUN START ===
2026-07-21 21:23:32 | INFO | BI | project=BI
2026-07-21 21:23:32 | INFO | BI | repo_dir=bintel-04-warehouse
2026-07-21 21:23:32 | INFO | BI | python=3.14.6
2026-07-21 21:23:32 | INFO | BI | os=Windows 11
2026-07-21 21:23:32 | INFO | BI | shell=powershell
2026-07-21 21:23:32 | INFO | BI | cwd=.
2026-07-21 21:23:32 | INFO | BI | github_actions=False
2026-07-21 21:23:32 | INFO | BI | ========================
2026-07-21 21:23:32 | INFO | BI | START main()
2026-07-21 21:23:32 | INFO | BI | ========================
2026-07-21 21:23:32 | INFO | BI | Raw data:  = data\raw
2026-07-21 21:23:32 | INFO | BI | Customers: = data\raw\customers_data.csv
2026-07-21 21:23:32 | INFO | BI | Products:  = data\raw\products_data.csv
2026-07-21 21:23:32 | INFO | BI | Sales:     = data\raw\sales_data.csv
2026-07-21 21:23:32 | INFO | BI | CALL a function to load each dataset.............
2026-07-21 21:23:32 | INFO | BI | Loading customers from data\raw\customers_data.csv
2026-07-21 21:23:32 | INFO | BI | Loaded: 201 rows, 4 columns
2026-07-21 21:23:32 | INFO | BI | Loading products from data\raw\products_data.csv
2026-07-21 21:23:32 | INFO | BI | Loaded: 100 rows, 4 columns
2026-07-21 21:23:32 | INFO | BI | Loading sales from data\raw\sales_data.csv
2026-07-21 21:23:32 | INFO | BI | Loaded: 2400 rows, 7 columns
2026-07-21 21:23:32 | INFO | BI | CALL a function to get sales by region........
2026-07-21 21:23:32 | INFO | BI | Aggregating sales by region
2026-07-21 21:23:32 | INFO | BI |   Top region: East ($1,234,686.51)
2026-07-21 21:23:32 | INFO | BI | Returning DataFrame with total sales by region
2026-07-21 21:23:32 | INFO | BI | CALL a function to plot sales by region........
2026-07-21 21:23:32 | INFO | BI | Creating chart: Total Sales by Region
2026-07-21 21:23:34 | INFO | BI | CALL a function to get sales by product category........
2026-07-21 21:23:34 | INFO | BI | Aggregating sales by product category
2026-07-21 21:23:34 | INFO | BI |   Top category: Office ($1,420,376.39)
2026-07-21 21:23:34 | INFO | BI | CALL a function to plot sales by product category........
2026-07-21 21:23:34 | INFO | BI | Creating chart: Total Sales by Product Category
2026-07-21 21:23:35 | INFO | BI | CALL a function to summarize the datasets........
2026-07-21 21:23:35 | INFO | BI | ========================
2026-07-21 21:23:35 | INFO | BI | SUMMARY
2026-07-21 21:23:35 | INFO | BI | ========================
2026-07-21 21:23:35 | INFO | BI | Customers:  201 rows, 4 columns
2026-07-21 21:23:35 | INFO | BI | Products:   100 rows, 4 columns
2026-07-21 21:23:35 | INFO | BI | Sales:      2400 rows, 7 columns
2026-07-21 21:23:35 | INFO | BI | ========================
2026-07-21 21:23:35 | INFO | BI | ANALYST NOTES:
2026-07-21 21:23:35 | INFO | BI | Note any data quality issues.
2026-07-21 21:23:35 | INFO | BI | We will clean data later.
2026-07-21 21:23:35 | INFO | BI | ========================
2026-07-21 21:23:35 | INFO | BI | CALL a function to show charts........
2026-07-21 21:29:46 | INFO | BI | Workflow complete
2026-07-21 21:29:46 | INFO | BI | CLOSE chart windows to continue.
2026-07-21 21:29:46 | INFO | BI | Terminate this process with CTRL+c as needed.
2026-07-21 21:29:46 | INFO | BI | ========================
2026-07-21 21:29:46 | INFO | BI | Executed successfully!
2026-07-21 21:29:46 | INFO | BI | ========================
2026-07-21 22:22:17 | INFO | BI | === RUN START ===
2026-07-21 22:22:17 | INFO | BI | project=BI
2026-07-21 22:22:17 | INFO | BI | repo_dir=bintel-04-warehouse
2026-07-21 22:22:17 | INFO | BI | python=3.14.6
2026-07-21 22:22:17 | INFO | BI | os=Windows 11
2026-07-21 22:22:17 | INFO | BI | shell=powershell
2026-07-21 22:22:17 | INFO | BI | cwd=.
2026-07-21 22:22:17 | INFO | BI | github_actions=False
2026-07-21 22:22:17 | INFO | BI | ========================
2026-07-21 22:22:17 | INFO | BI | START main()
2026-07-21 22:22:17 | INFO | BI | ========================
2026-07-21 22:22:17 | INFO | BI | Raw data:  = data\raw
2026-07-21 22:22:17 | INFO | BI | Customers: = data\raw\customers_data.csv
2026-07-21 22:22:17 | INFO | BI | Products:  = data\raw\products_data.csv
2026-07-21 22:22:17 | INFO | BI | Sales:     = data\prepared\sales_data_prepared.csv
2026-07-21 22:22:17 | INFO | BI | CALL a function to load each dataset.............
2026-07-21 22:22:17 | INFO | BI | Loading customers from data\raw\customers_data.csv
2026-07-21 22:22:17 | INFO | BI | Loaded: 201 rows, 4 columns
2026-07-21 22:22:17 | INFO | BI | Loading products from data\raw\products_data.csv
2026-07-21 22:22:17 | INFO | BI | Loaded: 100 rows, 4 columns
2026-07-21 22:22:17 | INFO | BI | Loading sales from data\prepared\sales_data_prepared.csv
2026-07-21 22:22:17 | INFO | BI | Loaded: 2392 rows, 7 columns
2026-07-21 22:22:17 | INFO | BI | CALL a function to get sales by region........
2026-07-21 22:22:17 | INFO | BI | Aggregating sales by region
2026-07-21 22:22:17 | INFO | BI |   Top region: East ($1,234,686.51)
2026-07-21 22:22:17 | INFO | BI | Returning DataFrame with total sales by region
2026-07-21 22:22:17 | INFO | BI | CALL a function to plot sales by region........
2026-07-21 22:22:17 | INFO | BI | Creating chart: Total Sales by Region
2026-07-21 22:22:17 | INFO | BI | CALL a function to plot daily sales trend........
2026-07-21 22:24:01 | INFO | BI | === RUN START ===
2026-07-21 22:24:01 | INFO | BI | project=BI
2026-07-21 22:24:01 | INFO | BI | repo_dir=bintel-04-warehouse
2026-07-21 22:24:01 | INFO | BI | python=3.14.6
2026-07-21 22:24:01 | INFO | BI | os=Windows 11
2026-07-21 22:24:01 | INFO | BI | shell=powershell
2026-07-21 22:24:01 | INFO | BI | cwd=.
2026-07-21 22:24:01 | INFO | BI | github_actions=False
2026-07-21 22:24:01 | INFO | BI | ========================
2026-07-21 22:24:01 | INFO | BI | START main()
2026-07-21 22:24:01 | INFO | BI | ========================
2026-07-21 22:24:01 | INFO | BI | Raw data:  = data\raw
2026-07-21 22:24:01 | INFO | BI | Customers: = data\raw\customers_data.csv
2026-07-21 22:24:01 | INFO | BI | Products:  = data\raw\products_data.csv
2026-07-21 22:24:01 | INFO | BI | Sales:     = data\prepared\sales_data_prepared.csv
2026-07-21 22:24:01 | INFO | BI | CALL a function to load each dataset.............
2026-07-21 22:24:01 | INFO | BI | Loading customers from data\raw\customers_data.csv
