TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount
1,2025-01-09,1020,2023,401,0,643.02
2,2024-07-10,1034,2091,404,2,529.24
3,2025-03-22,1087,2035,403,3,4313.72
4,2024-12-27,1186,2015,404,,1275.85
5,2025-04-21,1049,2005,402,0,1739.64
6,2024-10-30,1093,2054,402,0,1270.12
7,2025-02-20,1005,2097,402,0,644.45
8,2024-10-05,1054,2072,403,3,1833.37
9,2024-11-22,1063,2068,403,3,828.83
10,2024-08-30,1130,2096,401,1,1594.55
11,2024-11-11,1005,2059,403,0,273.38
12,2025-04-21,1196,2014,403,3,0.0
13,2025-02-16,1128,2064,401,2,1039.94
14,2024-08-22,1041,2099,401,3,1861.74
15,2025-04-19,1078,2035,401,3,4900.93
16,2024-12-11,1032,2021,403,3,1861.38
17,2025-03-02,1182,2040,404,3,41.46
18,2024-10-14,1058,2000,401,0,1815.57
19,2025-04-12,1071,2091,402,3,2628.38
20,2024-11-07,1005,2052,404,0,1969.12
21,2024-07-12,1086,2013,402,3,1325.7
22,2024-11-22,1019,2070,401,,127.04
23,2025-05-21,1060,2091,404,3,1240.87
24,2024-06-01,1116,2097,404,2,763.17
25,2025-02-22,1089,2039,404,1,2785.23
26,2025-04-09,1066,2030,404,1,127.5
27,2024-07-05,1144,2033,402,2,821.78
28,2025-01-24,1080,2009,401,0,39.84
29,2024-09-17,1017,2047,403,2,1975.1
30,2025-01-16,1020,2013,402,0,1199.52
31,2024-09-23,1089,2041,404,0,2406.09
32,2024-09-21,1116,2033,402,3,268.15
33,2025-05-13,1038,2047,402,0,1803.01
34,2025-03-19,1091,2035,401,3,3872.65
35,2025-05-06,1116,2022,404,,697.76
36,2025-05-08,1188,2034,402,0,125.51
37,2024-11-25,1032,2029,402,,55.96
38,2025-04-13,1071,2065,404,2,274.92
39,2025-05-22,1020,2039,404,2,4929.06
40,2024-07-19,1048,2079,401,1,814.88
41,2025-01-21,1080,2015,403,3,1409.56
42,2024-12-15,1005,2022,403,0,459.86
43,2025-03-15,1082,2056,402,1,603.38
44,2025-01-21,1023,2096,402,1,337.34
45,2024-06-21,1156,2009,404,1,63.76
46,2024-11-05,1034,2098,401,1,1918.03
47,2024-12-07,1071,2015,404,3,1976.39
48,2024-12-26,1113,2092,404,3,1500.13
49,2024-11-26,1063,2035,404,2,3710.95
50,2024-09-05,1138,2023,402,1,789.03
51,2024-11-07,1106,2079,404,0,3945.18
52,2024-10-30,1089,2079,404,1,1728.21
53,2024-11-29,1171,2051,402,1,1091.54
54,2025-04-29,1169,2079,402,1,2205.97
55,2024-08-27,1194,2035,404,0,3870.61
56,2024-06-22,1057,2099,401,1,89.74
57,2024-08-03,1066,2027,404,2,1234.13
58,2025-02-28,1116,2013,401,3,3717.57
59,2024-07-03,1160,2041,401,0,2427.7
60,2024-10-26,1087,2079,404,2,4229.18
61,2025-02-09,1187,2083,403,3,1660.18
62,2024-12-25,1062,2011,403,1,1161.21
63,2025-01-23,1126,2023,404,2,4461.44
64,2025-02-07,1002,2024,401,3,1528.42
65,2025-02-02,1125,2002,401,3,647.1
66,2024-12-21,1135,2070,403,3,45.2
67,2024-07-20,1066,2097,402,3,3153.14
68,2025-03-05,1025,2037,402,2,1091.56
69,2024-09-20,1141,2023,404,0,2612.29
70,2024-11-16,1034,2091,401,3,3096.6
71,2025-01-31,1020,2035,401,3,4058.33
72,2024-09-01,1115,2038,404,0,1493.17
73,2025-05-14,1071,2019,402,0,2338.33
74,2025-02-01,1008,2041,404,,1690.5
75,2025-03-16,1050,2069,402,2,189.25
76,2024-08-09,1191,2036,404,2,1888.22
77,2024-12-03,1020,2055,403,0,1925.73
78,2025-04-03,1005,2086,403,1,1320.44
79,2025-05-02,1005,2062,401,3,1356.76
80,2025-04-11,1177,2084,404,0,663.31
81,2024-10-09,1103,2000,404,1,1264.14
82,2024-12-02,1013,2097,402,3,2681.2
83,2024-06-13,1061,2039,401,0,4286.33
84,2024-07-18,1165,2063,403,2,990.87
85,2024-11-25,1037,2076,402,2,1716.1
86,2024-10-15,1068,2036,403,3,920.77
87,2024-11-29,1195,2058,403,1,505.45
88,2025-03-11,1032,2048,404,1,122.19
89,2024-12-03,1025,2056,401,3,331.1
90,2025-04-16,1019,2033,403,3,1710.94
91,2025-04-09,1097,2080,404,0,507.8
92,2025-01-31,1058,2055,401,0,1403.3
